Lund University,Lund,Sweden,Märta Stenevi,Lund,Sweden,,,,1666
Stockholm University,Stockholm,Sweden,Magdalena Schröder,Stockholm,Sweden,,,,1878
Linköping University,Linköping,Sweden,Magnus Sälgö,Helga Trefaldighet,Sweden,,,,1975
Stockholm University,Stockholm,Sweden,Thomas Roth,Lunds Cathedral Assembly,Sweden,,,,1878
Royal Institute of Technology,Stockholm,Sweden,Q56088224,Gothenburg,Sweden,,,,1827
Stockholm University,Stockholm,Sweden,Roland Artle,Värmland,Sweden,,,,1878
Uppsala University,Uppsala,Sweden,Johan Skytte,Storkyrkoförsamlingen,Sweden,,,,1477
Umeå University,Umeå,Sweden,Sara Cerdas,Funchal,Portugal,,,,1965
Stockholm University,Stockholm,Sweden,Silvia Viorica Constantinescu,Darabani,Romania,,,,1878
Uppsala University,Uppsala,Sweden,Q66049797,Turku,Finland,,,,1477
Royal Institute of Technology,Stockholm,Sweden,Kurt Wigartz,Mariestad,Sweden,,,,1827
Royal Institute of Technology,Stockholm,Sweden,Q68823431,Sollentuna Municipality,Sweden,,,,1827
Lund University,Lund,Sweden,Q62582367,Borås,Sweden,,,,1666
Uppsala University,Uppsala,Sweden,Erik Frykman,Gothenburg,Sweden,,,,1477
Chalmers University of Technology,Gothenburg,Sweden,Jesper Brodin,Gothenburg,Sweden,,,,1829
Stockholm University,Stockholm,Sweden,John Christian Rydqvist,Storkyrkoförsamlingen,Sweden,,,,1878
University of Gothenburg,Gothenburg,Sweden,Q59677199,Skurup,Sweden,,,,1954
Royal Institute of Technology,Stockholm,Sweden,Gunnar Schoerner,Q10670076,Sweden,,,,1827
University of Gothenburg,Gothenburg,Sweden,Maria Nilsson,Säffle parish,Sweden,,,,1954
Stockholm University,Stockholm,Sweden,Martin Lorentzon,Åsenhöga,Sweden,,,,1878
Stockholm University,Stockholm,Sweden,Arthur Lundblom,New York City,United States of America,,,,1878
Stockholm University,Stockholm,Sweden,Anna Malmhake,Stockholm,Sweden,,,,1878
Royal Institute of Technology,Stockholm,Sweden,Q59615105,Kalmar,Sweden,,,,1827
University of Gothenburg,Gothenburg,Sweden,Hampus Hagman,Gothenburg,Sweden,,,,1954
Royal Institute of Technology,Stockholm,Sweden,Martin Norsell,Q10688252,Sweden,,,,1827
Uppsala University,Uppsala,Sweden,Q64785859,Norrköpings Hedvig Parish,Sweden,,,,1477
Lund University,Lund,Sweden,Christian Fredrik Berling,Lund,Sweden,,,,1666
Uppsala University,Uppsala,Sweden,Johan Hattne,Varberg,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Romina Pourmokhtari,Hallonbergen,Sweden,,,,1477
Luleå University of Technology,Porsön,Sweden,Grace Freedom Kwiyucwiny,Zombo District,Uganda,,,,1971
Luleå University of Technology,Luleå,Sweden,Eva Karlsson,Finspång,Sweden,,,,1971
University of Gothenburg,Gothenburg,Sweden,Ingemar Andersson,Gothenburg,Sweden,,,,1954
Uppsala University,Uppsala,Sweden,Axel Munthe,Oskarshamn Parish,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Karl Staaff,Klara Parish,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Oscar von Sydow,Kalmar,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Oscar I of Sweden,Paris,France,,,,1477
Uppsala University,Uppsala,Sweden,Bror Uno Pehr Jacob Alexander Hummerhjelm,Åby församling,Sweden,,,,1477
Linköping University,Linköping,Sweden,Lars Wanhammar,Vansbro,Sweden,,,,1975
Lund University,Lund,Sweden,Joachim Morsing,Ystad,Sweden,,,,1666
Uppsala University,Uppsala,Sweden,John Hanson,Stockholm,Sweden,,,,1477
Royal Institute of Technology,Stockholm,Sweden,Anders Berglund,Q10718492,Sweden,,,,1827
Uppsala University,Uppsala,Sweden,Magnus Napoleon Berlin,Härnösand,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Q76404286,Kautokeino,Norway,,,,1477
Chalmers University of Technology,Gothenburg,Sweden,Lasse Östman,Västerås,Sweden,,,,1829
Stockholm University,Stockholm,Sweden,San'yūtei Jūbē,Uppsala,Sweden,,,,1878
Uppsala University,Uppsala,Sweden,Q84499264,Umeå stadsförsamling,Sweden,,,,1477
Uppsala University,Uppsala,Sweden,Q88387084,Uppsala,Sweden,,,,1477
Royal Institute of Technology,Stockholm,Sweden,Q79314456,Johannebergs församling,Sweden,,,,1827
Lund University,Lund,Sweden,Utoni Nujoma,Windhoek,Namibia,,,,1666
Uppsala University,Uppsala,Sweden,Carl Johan Thyselius,Österhaninge,Sweden,,,,1477
Royal Institute of Technology,Stockholm,Sweden,Johan von Utfall,Stockholm,Sweden,,,,1827
Uppsala University,Uppsala,Sweden,Hjalmar Branting,Klara Parish,Sweden,,,,1477
Stockholm University,Stockholm,Sweden,Ingmar Bergman,Uppsala,Sweden,,,,1878
